batch_id,task_id,arrival_time_seconds,observable_by_satellites,reward,observation_duration,memory_usage,latitude,longitude
1,1,2076,Satellite5,2,5,3,29.21342510838225,95.16568687298255
1,2,995,Satellite6,6,4,5,33.7694522709174,78.22176397528142
1,3,411,Satellite2,8,6,4,10.226915061066396,116.28134815683202
1,4,3105,Satellite3,7,3,6,44.477912662543524,99.73664775971592
1,5,2030,Satellite5,2,3,4,29.191051357237207,83.47522694649672
1,6,3582,Satellite7,9,4,3,52.433395765311445,91.88026587235825
1,7,2934,Satellite3,5,6,4,41.74114550193754,104.78335200935574
1,8,435,Satellite2,4,6,6,19.447227335591556,75.50484911970103
1,9,1873,Satellite5,2,6,5,49.156589152574725,83.13916892036227
1,10,210,Satellite2,3,3,4,25.137530931368314,97.5407032302667
1,11,1814,Satellite5,2,5,4,33.87252567134408,96.90684753891108
1,12,1503,Satellite1,2,6,4,31.869933348501608,74.38326878076755
1,13,3579,Satellite3,2,6,3,10.859345908482412,74.48046158108018
1,14,2922,Satellite3,2,5,5,50.5118600028529,103.75265486030976
1,15,0,Satellite2,1,6,6,20.04862941453601,109.89238759656848
1,16,89,Satellite2,2,5,4,40.745797356526566,81.52513693496927
1,17,2974,Satellite3,10,3,6,34.1127624964755,106.71580072057837
1,18,254,Satellite2,8,6,3,21.840498202357036,79.84350682286549
1,19,1371,"Satellite6, Satellite1",9,3,5,27.29390362042239,121.87260409778018
1,20,1256,"Satellite1, Satellite5",4,3,3,42.442979812359184,114.38109605217954
1,21,3550,"Satellite7, Satellite4",5,4,3,41.15513814804632,126.48004133477183
1,22,1113,"Satellite6, Satellite1",1,4,3,44.57588125509788,91.01783854152653
1,23,1374,"Satellite6, Satellite1",5,5,4,28.552115161501916,98.4852407448438
1,24,353,Satellite2,8,3,4,34.3032086129309,93.68719666878795
1,25,1601,"Satellite1, Satellite5",9,4,5,30.953579408748347,103.88590457513254
1,26,3220,Satellite4,6,6,6,47.673673768279514,129.6717967088465
1,27,1581,Satellite5,9,6,3,42.437305419906934,125.7050480972176
1,28,3255,Satellite3,2,3,4,8.540445481892636,100.54126398004962
1,29,1142,Satellite6,1,4,5,18.320330583769387,102.4760355506801
1,30,902,"Satellite6, Satellite1",3,5,3,51.6633968529591,128.8429536479932
1,31,3206,Satellite3,9,3,5,4.379926838943208,87.13437049987908
1,32,810,"Satellite6, Satellite1",5,3,4,49.22731337032388,106.26337001797509
1,33,907,Satellite6,10,4,4,23.658447939179027,104.50617525450384
1,34,796,Satellite6,6,5,6,24.751412756104465,98.72254915299038
1,35,243,Satellite2,2,3,4,20.503869132218885,120.05847468854083
1,36,217,Satellite2,1,5,6,40.60927281339784,116.50390793220902
1,37,149,Satellite2,1,4,3,13.05445917337191,94.43195977874956
1,38,446,Satellite2,5,5,6,23.541189968800577,112.09960553128658
1,39,1239,"Satellite6, Satellite1",2,6,4,32.327843084886666,97.8346897859831
1,40,547,Satellite2,7,3,4,7.578847455751644,84.1661473161363
1,41,2737,Satellite3,1,3,4,44.57673123031976,96.73566454160533
1,42,1454,Satellite1,10,6,3,24.454381044236932,78.30190883362195
1,43,557,Satellite6,8,6,5,45.727108552707925,86.92516588460401
1,44,3466,Satellite3,4,5,3,14.41043318243376,88.4027974145279
1,45,509,Satellite2,7,4,4,13.22230543536074,79.54544287611702
1,46,832,Satellite6,3,5,5,30.581743090451806,103.75022642080816
1,47,2197,Satellite5,6,3,5,32.706869207077915,81.28555193273381
1,48,3057,Satellite3,5,4,6,35.3447334425193,109.70686752172952
1,49,3070,Satellite3,1,5,4,28.101596990253412,114.09742839959344
1,50,1558,Satellite5,3,5,3,50.63663764307416,121.16404819117241
2,1,1136,Satellite6,6,3,4,22.19561834961115,115.88322423330152
2,2,236,Satellite2,4,4,4,40.60927281339784,116.50390793220902
2,3,1908,Satellite5,10,5,4,47.00974125009715,103.23452686144722
2,4,3290,Satellite3,1,6,6,27.914878177395583,97.50591241052742
2,5,900,Satellite6,8,6,4,35.510213618927935,92.96895267713109
2,6,2891,Satellite3,6,6,4,51.4309492599014,121.69439006661267
2,7,2028,Satellite5,6,3,5,39.95403153542825,85.81728416811342
2,8,1601,"Satellite1, Satellite5",7,3,4,38.40189629093785,100.90637045457812
2,9,957,"Satellite6, Satellite1",8,3,4,40.9599167626239,94.84524966340709
2,10,3021,Satellite3,4,6,4,35.3447334425193,109.70686752172952
2,11,2079,Satellite5,2,6,4,19.62660187910155,94.60377199818771
2,12,439,Satellite2,8,3,3,15.704564756745496,85.89269533226563
2,13,421,Satellite6,9,4,5,45.42039104706018,105.04827687244291
2,14,1534,"Satellite1, Satellite5",9,4,6,26.36622739589316,111.71686356529061
2,15,1957,Satellite5,6,3,6,21.10011520968906,117.34069496962647
2,16,938,Satellite6,9,4,3,35.45472098915144,80.60874483533233
2,17,605,Satellite6,5,6,6,45.727108552707925,86.92516588460401
2,18,359,Satellite2,2,4,6,26.010110415822254,93.46162244591531
2,19,1635,Satellite1,6,4,3,13.477193884901325,77.11745820354608
2,20,3355,Satellite3,4,6,4,28.89455416027111,76.48958305741583
2,21,2702,Satellite5,6,5,6,3.7086708148423213,89.11175596906801
2,22,24,Satellite2,10,4,6,18.921713329358067,85.56111972293029
2,23,1574,"Satellite6, Satellite1",2,6,5,16.94725257757593,85.73124903271149
2,24,3288,"Satellite7, Satellite4",1,5,3,50.42941606315843,109.65988779511957
2,25,1570,"Satellite6, Satellite1",10,6,3,9.181334620759483,101.41201098936612
2,26,2536,Satellite3,5,5,4,50.06466572480333,105.71046431266451
2,27,2064,Satellite5,2,6,4,13.279139088323863,103.67501460465294
2,28,1763,Satellite5,1,4,4,47.77335396508132,74.03783526051423
2,29,1515,"Satellite1, Satellite5",4,4,4,30.717227813427943,87.62405379447927
2,30,568,Satellite2,7,6,4,4.287970066148969,107.66471814725605
2,31,1448,Satellite5,9,5,4,33.99984270739098,126.53366534690721
2,32,2625,Satellite3,1,6,6,44.27742405163608,120.99893843359797
2,33,1509,"Satellite6, Satellite1",1,6,3,4.286369946726484,90.18603888006412
2,34,446,Satellite6,8,5,3,50.0710048036775,125.01307213741339
2,35,964,"Satellite6, Satellite1",1,3,4,43.11154512154359,124.99380774478726
2,36,1531,Satellite5,3,4,3,33.79692744142566,118.39592403756892
2,37,979,Satellite6,5,5,6,20.734238933726825,120.18491219102798
2,38,449,Satellite2,10,3,4,23.541189968800577,112.09960553128658
2,39,3574,Satellite7,2,3,4,43.327703975213744,96.8711124942972
2,40,845,Satellite6,7,3,5,38.1007394390773,132.16264875180963
2,41,1298,"Satellite1, Satellite5",2,4,5,42.35348516191951,119.41543409599699
2,42,106,Satellite2,2,3,5,28.582227720677086,101.25402384598091
2,43,1257,Satellite1,7,4,3,40.004994814592415,77.90525923260729
2,44,3246,Satellite4,6,5,5,35.87248395280516,123.20601710988907
2,45,2755,Satellite3,10,6,5,39.775840238817096,92.6153910688044
2,46,2734,Satellite3,2,4,3,34.110328091456836,76.2509658848584
2,47,1638,Satellite5,10,6,6,46.92392929490401,132.5740266615107
2,48,1224,Satellite1,7,3,5,44.101294730795345,89.90193588934558
2,49,2769,Satellite3,10,3,5,50.000753410065144,104.16041390963053
2,50,3013,Satellite3,6,6,4,44.477912662543524,99.73664775971592
3,1,3116,Satellite3,4,3,6,37.393429150995985,94.16759155570358
3,2,2230,Satellite5,8,6,5,18.0242670466943,110.54034312035321
3,3,884,Satellite6,10,5,3,26.403743880584614,112.85086179759111
3,4,406,Satellite2,1,5,3,34.05868050367776,109.39183505632866
3,5,0,Satellite2,9,6,5,20.04862941453601,109.89238759656848
3,6,2462,Satellite3,7,3,3,50.66130160323498,104.65649137406551
3,7,259,Satellite2,7,4,6,35.42955088801913,94.61739740487063
3,8,689,Satellite6,4,6,6,38.05454312185145,109.17106406673598
3,9,1607,"Satellite1, Satellite5",6,5,6,27.43234327821495,106.03501394893536
3,10,886,Satellite6,5,3,6,36.28714181213,113.643645708261
3,11,1335,Satellite6,4,4,4,22.336688862134938,120.54925358035256
3,12,3215,Satellite4,4,5,3,35.87248395280516,123.20601710988907
3,13,48,Satellite2,10,3,4,46.729761359456226,81.89762093471677
3,14,515,Satellite2,4,5,3,4.287970066148969,107.66471814725605
3,15,137,Satellite2,2,3,4,15.5832158450914,120.2030431156324
3,16,3339,Satellite3,9,4,5,28.71549007594977,105.39032333576726
3,17,499,Satellite2,1,6,6,5.476017566010075,117.35078866007126
3,18,3445,Satellite3,9,5,5,8.591293572451267,90.38578901010504
3,19,1362,"Satellite1, Satellite5",4,3,6,38.56363551896746,121.87557019431608
3,20,507,Satellite2,3,4,5,18.51428649982942,109.88704043354136
3,21,35,Satellite2,5,4,3,50.32195540461859,118.02906555706372
3,22,1227,Satellite1,1,5,4,42.70049788825328,75.45526509898808
3,23,860,"Satellite6, Satellite1",6,3,6,45.72886977497438,127.67612653877201
3,24,365,Satellite2,3,3,5,4.859485524669285,82.40026076949968
3,25,2946,Satellite3,9,5,5,48.47034982968239,83.56580929940252
3,26,429,Satellite2,8,4,4,8.227282717810706,76.93439282064791
3,27,1368,"Satellite1, Satellite5",6,5,3,48.985658954641934,76.8243665173646
3,28,448,Satellite2,4,4,6,26.010110415822254,93.46162244591531
3,29,914,"Satellite6, Satellite1",10,3,3,46.11866505199248,107.3736616427494
3,30,3255,Satellite3,3,3,4,15.452770353468534,78.93361963942789
3,31,1859,Satellite1,7,4,3,9.170221648493595,77.22791751119871
3,32,584,Satellite6,1,5,6,37.753203797175196,131.93197090020658
3,33,3467,Satellite3,4,4,5,14.248423513686484,93.25889979528733
3,34,1463,"Satellite1, Satellite5",9,4,3,41.58336719125681,77.41885344006675
3,35,2590,Satellite3,6,5,5,47.628007557607916,113.75983167504106
3,36,3320,Satellite3,4,5,5,40.082481685340476,82.10116872706745
