batch_id,task_id,latitude,longitude,arrival_time,observation_duration,profit,memory_usage
1,1,8.151888439321173,119.85418107884296,3312,13,10,15
1,2,52.89496245142072,101.88064545448029,2761,10,14,15
1,3,50.4945630737697,80.89055803774035,1916,7,5,11
1,4,5.738661550447052,124.2462052162254,1250,12,14,9
1,5,38.79700657305041,117.58928049697002,2912,10,12,12
1,6,7.391909901051139,85.96273297029076,392,10,12,8
1,7,37.62126257612817,109.97448676900987,3271,15,7,14
1,8,47.574774622270176,113.05892400146281,1249,12,5,7
1,9,42.70049788825328,75.45526509898808,1231,13,15,14
1,10,10.283863721091173,125.48527042516768,1540,14,7,8
1,11,24.4255728595871,116.16354324942702,66,11,11,8
1,12,17.292275672028545,77.12031189298779,1669,9,6,6
1,13,42.79628207257278,126.12284074833212,1480,5,15,5
1,14,18.320330583769387,102.4760355506801,1115,10,15,9
1,15,45.20351568706348,113.50016563968902,1318,10,15,13
1,16,16.51442808869694,83.42072057136637,372,10,8,9
1,17,5.110112731818398,74.87721753847651,148,8,15,10
1,18,13.293412826673286,108.15267023487225,313,15,7,10
1,19,17.760597506484068,128.21614359390588,2365,6,10,12
1,20,32.15485649397722,115.26623653441467,2576,9,13,6
1,21,16.62488907766233,103.43542925809075,803,12,7,14
1,22,26.483735134497874,127.95730109340053,1063,13,11,8
1,23,12.797933998974862,81.16703813195,143,7,13,13
1,24,49.80665959598211,109.87607154282273,1803,5,15,8
1,25,20.523896083145118,129.4870153937203,1324,5,9,8
1,26,46.81284863909505,92.64361626377986,1281,11,10,15
1,27,6.674191728101067,126.43950835544901,2293,13,14,8
1,28,12.398431657406686,109.28099704196407,2562,6,15,12
1,29,17.84751244606865,75.60412921105879,1699,11,7,7
1,30,32.59699115219784,96.96610120024035,3235,8,12,7
1,31,42.437305419906934,125.7050480972176,1555,15,14,10
1,32,50.63663764307416,121.16404819117241,1555,10,11,12
1,33,17.904114814459263,105.2409605055216,2161,14,10,12
1,34,10.608931767691978,126.35114396842994,1037,9,12,12
1,35,18.74150489900993,107.08824812661817,1273,11,14,11
1,36,5.575829623644493,102.58739113163936,3231,11,14,8
1,37,49.149519392006226,85.68353978571686,2436,12,13,9
1,38,38.05454312185145,109.17106406673598,744,10,10,7
1,39,32.27882351401169,122.6153481967748,2509,13,8,14
1,40,18.390723342184376,93.51869169872457,551,5,9,15
1,41,30.801080552443096,128.2616746229575,1455,6,13,15
1,42,27.353382044789313,118.61191178456967,2229,9,9,8
1,43,50.62998337567877,101.6763670357642,3483,6,7,15
1,44,45.39922930479826,88.70683212907053,2993,6,12,10
1,45,15.882482202899247,130.69135926496406,335,8,11,12
1,46,15.103855902392645,103.14901738088709,504,8,7,6
1,47,31.92215142751924,74.22119425393014,703,5,5,8
1,48,22.22947564199699,112.37712372489443,2679,11,8,11
1,49,32.03529143813801,108.76950787238948,519,8,12,13
1,50,14.488465130851145,119.43815371981613,2696,5,12,14
1,51,11.59754722793249,115.79344590952385,2303,6,5,15
1,52,22.931537276431467,89.41212026650476,3343,15,6,12
1,53,11.75280341332888,122.84897844987051,2697,12,15,10
1,54,7.586996525341435,108.45121851673193,2911,14,15,9
1,55,28.658054902659778,93.63603717718594,1476,8,12,12
1,56,45.82301842361846,108.3640572020086,3431,5,8,10
1,57,43.71681794378161,102.1147880152616,1826,13,13,12
1,58,14.37558392430164,130.66332484871853,1021,7,13,11
1,59,38.66142768937795,116.87132649591587,2607,10,5,5
1,60,7.578847455751644,84.1661473161363,494,10,14,5
1,61,46.24536955439526,126.61497310531466,2870,13,5,13
1,62,50.246197635531004,116.81202498877744,3457,15,9,8
1,63,31.171369183081858,114.93203699961074,2655,6,7,15
1,64,27.44192171860709,74.99662947003438,2411,5,8,11
1,65,4.176823321094328,109.61423051820924,3458,8,8,12
1,66,50.497693066903935,76.9402305607502,1942,9,5,10
1,67,32.127649420448215,113.5304099581849,1545,14,14,10
1,68,41.63417382970942,127.33979265110202,2521,6,14,7
1,69,4.326293144619806,77.39012273022347,2699,8,13,14
1,70,46.63647832459309,96.18429301922784,1864,15,12,9
1,71,5.3292110565334205,95.17311323511694,99,13,14,12
1,72,45.84180978939289,97.55712370722145,406,8,7,6
1,73,31.07991587870861,92.25692352839296,2790,6,6,11
1,74,20.734238933726825,120.18491219102798,1001,12,5,10
1,75,50.750301463881755,125.76179174019926,2015,13,6,6
